secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-05-28,1.0529556381605531e-06,0.016289408240217303,-10.964557845343025,-11.735464604720397,-12.967408621726626,-13.76390945470221,garman_klass,True
GLDRUB_TOM,2018-05-29,3.62782719310917e-05,0.09561445772808162,-13.76390945470221,-12.206072097257445,-13.013156915942359,-10.224291565299058,garman_klass,True
GLDRUB_TOM,2018-05-30,5.842345544543038e-06,0.03837018474316804,-10.224291565299058,-11.828420079459633,-12.873713648410193,-12.05037820741806,garman_klass,True
GLDRUB_TOM,2018-05-31,7.5186316800276286e-06,0.043528096482237336,-12.05037820741806,-12.053838719520831,-12.850690191162181,-11.798126394001924,garman_klass,True
GLDRUB_TOM,2018-06-01,1.8717203657271656e-08,0.002171804623264362,-11.798126394001924,-11.760252693352857,-12.777325094035659,-17.79382275433736,garman_klass,True
GLDRUB_TOM,2018-06-04,2.066145784376715e-06,0.02281816683397096,-17.79382275433736,-13.126105675151724,-13.058073779481912,-13.08982562616643,garman_klass,True
GLDRUB_TOM,2018-06-05,1.0337214938516e-05,0.05103898671119982,-13.08982562616643,-12.991288909444567,-13.070205384053903,-11.479760073470757,garman_klass,True
GLDRUB_TOM,2018-06-06,1.1737425329362992e-05,0.05438594655790661,-11.479760073470757,-13.242382611078906,-12.994469893073752,-11.352728075165741,garman_klass,True
GLDRUB_TOM,2018-06-07,1.8771230641713082e-06,0.02174936808670932,-11.352728075165741,-13.102852584628442,-12.919845264987025,-13.18577023821969,garman_klass,True
GLDRUB_TOM,2018-06-08,2.9174585322042796e-05,0.08574377820667098,-13.18577023821969,-13.380381353471995,-12.99182109377581,-10.442212593361637,garman_klass,True
GLDRUB_TOM,2018-06-09,1.701617686970532e-06,0.020707671455684584,-10.442212593361637,-11.91005932127685,-12.860305803897075,-13.283931178796978,garman_klass,True
GLDRUB_TOM,2018-06-13,3.7341651133073397e-06,0.030675879914901377,-13.283931178796978,-11.94888043180296,-12.586354255885688,-12.497986294939846,garman_klass,True
GLDRUB_TOM,2018-06-14,2.086286277986164e-05,0.07250821622771542,-12.497986294939846,-12.152525676096777,-12.577369533559853,-10.777539880038875,garman_klass,True
GLDRUB_TOM,2018-06-15,2.956761469353603e-05,0.08631940050053105,-10.777539880038875,-12.037488037071405,-12.533574737782352,-10.428830893787959,garman_klass,True
GLDRUB_TOM,2018-06-18,2.998075802524492e-06,0.02748663497476859,-10.428830893787959,-11.486100168185057,-12.374367657010646,-12.717539874239105,garman_klass,True
GLDRUB_TOM,2018-06-19,2.9512164071394964e-05,0.0862384215184365,-12.717539874239105,-11.941165624360552,-12.282160051070901,-10.430708038204635,garman_klass,True
GLDRUB_TOM,2018-06-20,6.519096915499933e-07,0.012817224437084588,-10.430708038204635,-11.370520996242083,-12.153138750162485,-14.243359794505787,garman_klass,True
GLDRUB_TOM,2018-06-21,3.135423163330962e-06,0.028109191328805645,-14.243359794505787,-11.71959569615527,-12.19263836182991,-12.67274641265956,garman_klass,True
GLDRUB_TOM,2018-06-22,1.0736603491069801e-07,0.0052015613807294345,-12.67274641265956,-12.098637002679409,-12.249996290040938,-16.047021953392495,garman_klass,True
GLDRUB_TOM,2018-06-25,1.107810480606062e-06,0.01670832849547577,-16.047021953392495,-13.22227521460032,-12.428835849091138,-13.713125030653703,garman_klass,True
